Summary,Issue Type,Priority,Story Points,Epic Link,Assignee,Reporter,Sprint,Description
[LIVE-8] Event Discovery,Story,Low,2,EPIC-13,,,Sprint 6,"Browse upcoming events. AC: GET /api/events sorted by date, filter by location"
[LIVE-9] Event Notifications,Story,Low,2,EPIC-13,,,Sprint 6,"Notify attendees of event updates. AC: notification created when event edited, socket event sent"
[LIVE-10] Live Stream Notification,Story,Low,2,EPIC-13,,,Sprint 6,"Friends notified when someone goes live. AC: socket broadcast friend:live event, toast with join button"
[DSC-1] Global Search API,Story,High,3,EPIC-14,,,Sprint 3,"GET /api/search?q=text searches users and posts. AC: Firestore text search (via array-contains), returns both"
[DSC-2] Search Results Page,Story,High,3,EPIC-14,,,Sprint 3,"Dedicated search results page with tabs: People / Posts / Groups / Videos. AC: routes /search?q=x"
[DSC-3] Search Bar in Header,Task,High,2,EPIC-14,,,Sprint 2,"Header search bar with autocomplete. AC: debounce 300ms, shows top 5 people results as dropdown"
[DSC-4] Hashtag Pages,Story,Medium,3,EPIC-14,,,Sprint 4,"Clicking hashtag navigates to /hashtag/x showing all posts with that tag. AC: GET /api/posts?hashtag=x"
[DSC-5] Trending Hashtags,Story,Low,3,EPIC-14,,,Sprint 5,"Right sidebar shows trending hashtags. AC: backend aggregates hashtag counts daily, GET /api/hashtags/trending"
[DSC-6] People You May Know,Story,Medium,3,EPIC-14,,,Sprint 4,"Right sidebar or discovery page shows friend suggestions. AC: FOAF algorithm, max 5 shown"
[DSC-7] Explore / Discover Page,Story,Medium,3,EPIC-14,,,Sprint 5,"Dedicated explore page: trending posts, videos, hashtags, groups. AC: aggregated from multiple endpoints"
[DSC-8] Location-based Discovery,Story,Low,3,EPIC-14,,,Sprint 6,"Find people and posts near user's location. AC: Firestore geoquery, filter by radius"
[DSC-9] Search History,Story,Low,2,EPIC-14,,,Sprint 5,"Recent searches saved and shown in search dropdown. AC: localStorage or Firestore, clear history option"
[DSC-10] Filter Search Results,Story,Low,2,EPIC-14,,,Sprint 5,"Filter search results by type, date, location. AC: filter chips on search results page"
